Subject,Overall Frequency,tec,mas,fer,phy,bau,arc,geo,his,sow,elt,inf,oek,rel,jur,mat,pae,hor,meda,rest,cet,che,lin,phi,lit,bio,spo,ver,ber,med
Bildung,292,5,0,0,0,0,0,2,11,78,0,8,16,13,3,0,129,0,1,3,1,0,7,10,4,0,1,0,0,0
Verbraucherverhalten,289,2,2,0,0,0,0,0,7,51,1,3,177,0,4,2,17,3,0,2,7,0,0,5,0,0,4,2,0,0
Landwirtschaft,287,3,1,0,0,1,7,4,9,13,0,0,86,0,7,1,5,113,1,7,16,0,1,2,2,8,0,0,0,0
Gefühl,286,1,0,0,0,0,1,1,13,51,0,4,15,4,1,0,135,0,10,7,0,0,11,19,12,0,1,0,0,0
R Programm,285,0,0,0,0,0,1,6,0,12,0,97,29,0,0,121,4,1,4,0,3,1,0,0,0,6,0,0,0,0
Politisches System,284,2,0,0,0,0,2,4,98,152,0,0,4,0,17,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0
Soziale Integration,283,3,0,0,0,2,2,18,22,145,0,0,11,24,6,0,38,0,2,2,1,0,0,0,3,0,4,0,0,0
Softwareentwicklung,281,5,1,0,0,0,0,0,0,0,2,228,23,0,0,10,8,0,1,0,0,0,0,0,0,2,0,0,0,1
Social Media,278,2,0,0,0,0,1,1,5,81,0,52,37,2,14,1,33,0,2,30,0,0,9,1,7,0,0,0,0,0
Optimierung,277,16,1,0,4,0,0,2,0,1,10,53,45,0,0,123,0,0,1,1,6,2,0,0,0,3,0,8,0,1
Modellierung,276,11,8,3,23,19,7,38,0,8,11,43,23,0,1,24,4,5,10,1,14,4,0,2,1,8,0,3,1,4
Nanostrukturiertes Material,272,46,11,48,52,0,0,1,0,0,23,0,0,0,1,2,0,2,14,0,21,36,0,0,0,2,0,0,0,13
Moderne,271,1,0,0,0,1,27,3,26,49,0,0,2,22,2,0,12,0,2,8,0,0,18,36,62,0,0,0,0,0
Psychoanalyse,269,1,0,0,0,0,1,0,11,50,0,1,1,5,1,0,150,0,11,9,0,0,4,7,16,1,0,0,0,0
Rechtsvergleich,268,1,0,0,0,0,0,1,1,16,0,0,8,0,231,0,7,0,1,0,0,0,1,0,0,0,0,1,0,0
Qualitätsmanagement,267,11,16,2,0,2,2,0,1,9,0,15,107,0,5,6,44,3,20,3,6,1,0,0,0,1,1,4,0,8
Umweltpolitik,266,1,0,0,0,0,5,16,8,45,0,0,88,1,5,1,5,4,0,50,30,1,0,4,0,1,0,1,0,0
Lehrer,265,0,0,0,1,0,0,2,5,37,0,1,4,2,2,5,187,0,5,1,0,1,7,0,5,0,0,0,0,0
Lebensmittel,265,0,8,1,1,0,1,0,1,8,0,1,10,0,7,0,22,76,17,4,85,16,0,0,0,7,0,0,0,0
Bevölkerungsentwicklung,264,6,0,0,0,1,19,52,7,63,0,1,78,1,6,2,17,0,6,0,1,0,0,1,0,1,0,1,0,1
Medien,263,5,0,0,0,0,5,6,21,61,0,13,11,12,4,0,37,0,3,37,0,0,15,12,18,0,3,0,0,0
Geschlechterforschung,262,3,0,0,0,0,2,1,7,132,0,2,11,8,4,0,43,0,3,1,0,0,11,18,13,0,3,0,0,0
Wissenschaft,261,7,0,0,3,0,4,2,16,51,0,8,7,10,9,2,25,0,4,33,1,0,12,48,17,2,0,0,0,0
Informatik,260,3,1,0,1,1,1,4,0,5,7,189,10,0,0,20,9,0,0,2,0,0,1,4,0,1,0,0,0,1
Umweltschutz,258,2,2,0,0,0,9,21,5,23,0,3,57,3,16,2,17,8,2,21,42,2,0,4,1,13,3,1,1,0
Spieltheorie,258,2,0,0,1,0,0,0,1,10,3,16,107,0,1,109,5,0,0,2,0,0,0,0,0,1,0,0,0,0
Sozialpolitik,257,0,0,0,1,0,1,5,28,129,0,0,53,2,14,1,14,1,4,1,2,0,0,1,0,0,0,0,0,0
Armut,256,0,0,0,0,0,4,11,17,131,0,0,54,4,5,0,22,0,2,2,1,0,0,3,0,0,0,0,0,0
Design,256,8,5,6,3,6,65,4,2,14,7,16,7,1,3,2,22,1,2,61,3,0,0,4,1,1,1,9,0,2
Kryptologie,255,0,0,0,0,0,0,0,2,0,31,169,5,0,2,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Wirtschaftsinformatik,254,1,0,0,0,0,0,0,0,2,1,106,103,0,0,33,7,0,0,0,0,0,0,1,0,0,0,0,0,0
Feminismus,253,2,0,0,0,0,3,3,20,148,0,0,11,7,5,0,9,0,2,6,0,0,8,12,15,0,2,0,0,0
Thermodynamik,252,47,9,3,131,0,1,2,0,0,3,1,1,0,0,6,1,0,2,0,4,32,0,0,0,3,0,4,1,1
Programmierung,252,11,1,0,6,0,0,2,0,2,14,193,3,0,0,16,2,0,0,0,0,0,1,0,0,1,0,0,0,0
Kritik,252,1,2,0,5,0,1,6,18,76,0,7,39,19,3,2,25,3,8,6,5,0,1,20,3,0,1,1,0,0
Internet der Dinge,252,6,1,0,1,8,4,0,0,1,12,160,15,0,1,10,5,3,13,1,1,0,0,0,0,0,0,1,0,9
Informationsgesellschaft,251,6,0,0,0,0,6,6,5,73,3,35,27,1,11,0,30,0,0,31,1,0,3,10,3,0,0,0,0,0
Theologie,251,0,0,0,2,0,1,0,20,11,0,1,3,152,2,0,5,0,0,1,0,0,6,36,10,1,0,0,0,0
Ökonometrie,250,0,0,0,0,0,0,0,0,1,0,25,128,0,0,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rechtsradikalismus,249,1,0,0,0,0,0,1,41,164,0,0,0,4,9,0,22,0,0,0,0,0,1,1,1,0,4,0,0,0
Supply Chain Management,249,24,4,4,0,1,1,0,0,7,0,16,162,0,5,4,8,2,0,3,3,0,0,0,0,0,0,5,0,0
Produktentwicklung,248,65,5,1,0,1,1,0,0,3,3,20,100,0,0,2,18,5,1,3,15,0,0,0,0,0,0,4,0,1
Fundamentalismus,247,0,0,0,0,0,1,2,44,90,0,0,0,103,1,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0
Judentum,247,0,0,0,0,0,0,1,43,20,0,0,0,144,2,0,8,0,0,2,0,0,4,14,9,0,0,0,0,0
Corporate Social Responsibility,247,2,0,0,0,0,1,1,1,18,0,1,117,0,10,1,81,0,3,2,4,0,0,1,0,0,4,0,0,0
Gesundheitsförderung,247,14,0,0,0,0,5,0,0,47,0,1,47,0,1,0,53,1,69,4,1,0,0,0,0,0,4,0,0,0
Python Programmiersprache,247,5,0,1,9,0,0,6,0,2,6,167,5,0,1,42,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Markenpolitik,244,3,0,0,0,0,2,0,0,12,0,3,208,0,2,0,6,0,1,0,0,0,0,0,0,0,3,4,0,0
Mensch-Maschine-Kommunikation,244,18,2,0,1,1,1,1,0,11,3,169,8,0,1,3,5,0,3,4,1,0,3,3,1,0,0,2,0,3
Multinationales Unternehmen,244,4,0,0,0,0,2,7,3,30,0,4,129,0,19,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0
Lehrbuch,243,13,7,3,31,2,2,23,0,22,10,8,46,0,5,38,14,0,1,0,2,3,4,0,4,2,1,1,1,0
Cloud Computing,243,2,1,0,0,2,2,2,0,3,6,165,31,0,10,11,2,0,4,0,0,0,0,0,0,0,0,1,0,1
Datenschutz,242,0,0,0,0,0,0,0,0,18,1,72,16,0,123,4,2,0,2,3,0,0,0,1,0,0,0,0,0,0
Antisemitismus,241,0,0,0,0,0,0,0,92,89,0,0,0,28,1,0,13,0,1,1,0,0,2,5,6,0,3,0,0,0
Kraftfahrzeugindustrie,240,24,5,0,0,0,3,0,3,13,2,8,108,0,3,0,27,0,0,0,3,0,0,0,0,0,0,41,0,0
Erfolgsfaktor,240,16,1,1,0,0,1,0,0,14,0,8,134,0,0,0,56,1,1,0,0,0,0,0,0,0,3,4,0,0
Begriff,239,3,0,0,4,0,2,7,13,57,1,0,5,14,19,0,35,0,3,3,0,0,10,46,16,0,1,0,0,0
Identität,238,0,0,0,0,0,2,5,38,93,0,1,7,20,2,1,29,0,3,3,0,0,9,8,16,0,1,0,0,0
Inklusion Soziologie,237,1,0,0,0,0,2,0,2,96,0,0,8,6,3,3,100,0,1,4,1,0,4,0,1,0,5,0,0,0
Logistik,237,15,6,2,0,3,3,1,0,6,2,9,152,0,1,3,8,0,4,3,2,0,0,0,0,0,0,17,0,0
